Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,data
Abruzzo,429,1169,38,152,2020-11-03
Basilicata,87,405,11,64,2020-11-03
Calabria,184,813,26,161,2020-11-03
Campania,1497,4408,227,578,2020-11-03
Emilia-Romagna,1464,5013,153,603,2020-11-03
Friuli Venezia Giulia,205,1535,39,175,2020-11-03
Lazio,2192,5592,197,856,2020-11-03
Liguria,1147,1876,64,209,2020-11-03
Lombardia,4740,12461,475,1079,2020-11-03
Marche,374,912,53,144,2020-11-03
Molise,24,186,6,30,2020-11-03
P.A. Bolzano,287,565,28,65,2020-11-03
P.A. Trento,200,799,12,51,2020-11-03
Piemonte,3379,5761,213,575,2020-11-03
Puglia,749,2395,95,400,2020-11-03
Sardegna,337,1416,45,168,2020-11-03
Sicilia,1072,3593,150,669,2020-11-03
Toscana,1261,3940,190,546,2020-11-03
Umbria,305,662,48,103,2020-11-03
Valle d'Aosta,170,174,13,30,2020-11-03
Veneto,1011,5198,142,825,2020-11-03
Abruzzo,427,1182,36,158,2020-11-04
Basilicata,89,405,15,64,2020-11-04
Calabria,212,813,11,121,2020-11-04
Campania,1569,4401,175,640,2020-11-04
Emilia-Romagna,1554,3697,161,562,2020-11-04
Friuli Venezia Giulia,215,1535,40,175,2020-11-04
Lazio,2317,5592,217,848,2020-11-04
Liguria,1196,1876,77,179,2020-11-04
Lombardia,5018,7542,507,1097,2020-11-04
Marche,398,932,54,144,2020-11-04
Molise,28,186,7,34,2020-11-04
P.A. Bolzano,309,565,33,65,2020-11-04
P.A. Trento,211,799,11,51,2020-11-04
Piemonte,3525,3650,233,577,2020-11-04
Puglia,745,2395,116,400,2020-11-04
Sardegna,344,1416,45,165,2020-11-04
Sicilia,1105,3593,148,669,2020-11-04
Toscana,1319,3940,197,515,2020-11-04
Umbria,307,662,49,102,2020-11-04
Valle d'Aosta,152,174,11,30,2020-11-04
Veneto,1076,6000,149,1000,2020-11-04
Abruzzo,458,1189,36,158,2020-11-05
Basilicata,90,405,16,64,2020-11-05
Calabria,217,813,11,121,2020-11-05
Campania,1608,4431,174,640,2020-11-05
Emilia-Romagna,1588,3697,177,562,2020-11-05
Friuli Venezia Giulia,268,1277,44,175,2020-11-05
Lazio,2508,5723,222,894,2020-11-05
Liguria,1236,1876,76,179,2020-11-05
Lombardia,5318,7745,522,1146,2020-11-05
Marche,421,932,56,144,2020-11-05
Molise,27,355,7,34,2020-11-05
P.A. Bolzano,335,565,33,65,2020-11-05
P.A. Trento,224,517,15,51,2020-11-05
Piemonte,3698,3950,249,577,2020-11-05
Puglia,745,2517,122,408,2020-11-05
Sardegna,340,1416,46,165,2020-11-05
Sicilia,1147,3917,157,912,2020-11-05
Toscana,1387,3940,202,515,2020-11-05
Umbria,319,662,50,103,2020-11-05
Valle d'Aosta,160,174,12,30,2020-11-05
Veneto,1162,6000,164,1000,2020-11-05
Abruzzo,468,1242,42,169,2020-11-06
Basilicata,100,405,16,64,2020-11-06
Calabria,212,813,15,121,2020-11-06
Campania,1677,4425,180,640,2020-11-06
Emilia-Romagna,1673,3697,177,562,2020-11-06
Friuli Venezia Giulia,260,1277,44,175,2020-11-06
Lazio,2511,5728,234,969,2020-11-06
Liguria,1315,1884,78,209,2020-11-06
Lombardia,5563,8019,570,1153,2020-11-06
Marche,444,935,60,161,2020-11-06
Molise,26,355,8,34,2020-11-06
P.A. Bolzano,356,365,35,64,2020-11-06
P.A. Trento,226,517,17,51,2020-11-06
Piemonte,3871,4150,268,577,2020-11-06
Puglia,787,2613,122,411,2020-11-06
Sardegna,392,1416,46,165,2020-11-06
Sicilia,1157,3958,159,918,2020-11-06
Toscana,1303,3940,209,515,2020-11-06
Umbria,326,662,53,103,2020-11-06
Valle d'Aosta,154,174,13,30,2020-11-06
Veneto,1184,6000,169,1000,2020-11-06
Abruzzo,484,1293,43,170,2020-11-07
Basilicata,98,405,15,64,2020-11-07
Calabria,227,813,16,121,2020-11-07
Campania,1756,4425,179,640,2020-11-07
Emilia-Romagna,1723,3697,188,562,2020-11-07
Friuli Venezia Giulia,286,1277,45,175,2020-11-07
Lazio,2619,5728,237,969,2020-11-07
Liguria,1303,1884,77,209,2020-11-07
Lombardia,5813,8337,610,1174,2020-11-07
Marche,454,935,67,170,2020-11-07
Molise,26,194,8,34,2020-11-07
P.A. Bolzano,361,365,36,64,2020-11-07
P.A. Trento,243,517,18,51,2020-11-07
Piemonte,4122,4410,284,577,2020-11-07
Puglia,876,2793,124,484,2020-11-07
Sardegna,390,1416,56,172,2020-11-07
Sicilia,1161,3958,169,918,2020-11-07
Toscana,1368,3940,214,515,2020-11-07
Umbria,345,662,58,106,2020-11-07
Valle d'Aosta,154,174,14,30,2020-11-07
Veneto,1300,6000,176,1000,2020-11-07
Abruzzo,484,1294,43,172,2020-11-08
Basilicata,102,405,16,64,2020-11-08
Calabria,233,813,16,121,2020-11-08
Campania,1817,4425,186,640,2020-11-08
Emilia-Romagna,1836,3697,194,562,2020-11-08
Friuli Venezia Giulia,301,1277,45,175,2020-11-08
Lazio,2686,5728,237,969,2020-11-08
Liguria,1334,1884,81,209,2020-11-08
Lombardia,6225,8466,650,1258,2020-11-08
Marche,493,935,69,167,2020-11-08
Molise,39,201,7,34,2020-11-08
P.A. Bolzano,398,365,39,64,2020-11-08
P.A. Trento,255,517,20,51,2020-11-08
Piemonte,4367,4610,304,577,2020-11-08
Puglia,880,2750,123,479,2020-11-08
Sardegna,400,1416,55,172,2020-11-08
Sicilia,1250,4005,177,718,2020-11-08
Toscana,1474,3969,226,515,2020-11-08
Umbria,353,662,62,103,2020-11-08
Valle d'Aosta,158,174,14,30,2020-11-08
Veneto,1355,6000,185,1000,2020-11-08
Abruzzo,513,1300,48,170,2020-11-09
Basilicata,111,405,18,64,2020-11-09
Calabria,256,813,16,121,2020-11-09
Campania,1949,4425,191,590,2020-11-09
Emilia-Romagna,1939,3697,204,562,2020-11-09
Friuli Venezia Giulia,319,1277,46,175,2020-11-09
Lazio,2761,5988,237,969,2020-11-09
Liguria,1387,1889,92,210,2020-11-09
Lombardia,6414,8664,670,1274,2020-11-09
Marche,519,949,71,167,2020-11-09
Molise,38,201,7,34,2020-11-09
P.A. Bolzano,411,365,41,68,2020-11-09
P.A. Trento,275,517,24,66,2020-11-09
Piemonte,4540,4810,312,577,2020-11-09
Puglia,968,2814,119,432,2020-11-09
Sardegna,408,1416,58,172,2020-11-09
Sicilia,1303,3953,187,709,2020-11-09
Toscana,1542,4049,234,515,2020-11-09
Umbria,360,662,64,111,2020-11-09
Valle d'Aosta,159,174,15,30,2020-11-09
Veneto,1464,6000,195,1000,2020-11-09
Abruzzo,530,1347,46,174,2020-11-10
Basilicata,138,405,18,64,2020-11-10
Calabria,283,813,19,121,2020-11-10
Campania,2061,4425,193,590,2020-11-10
Emilia-Romagna,2020,3697,215,562,2020-11-10
Friuli Venezia Giulia,336,1277,47,175,2020-11-10
Lazio,2785,6223,257,969,2020-11-10
Liguria,1315,1889,92,210,2020-11-10
Lombardia,6682,8947,708,1301,2020-11-10
Marche,525,959,75,164,2020-11-10
Molise,44,206,7,34,2020-11-10
P.A. Bolzano,427,365,37,68,2020-11-10
P.A. Trento,290,517,28,66,2020-11-10
Piemonte,4715,5110,325,577,2020-11-10
Puglia,1029,2844,131,432,2020-11-10
Sardegna,403,1416,51,172,2020-11-10
Sicilia,1348,4000,195,724,2020-11-10
Toscana,1582,4087,242,515,2020-11-10
Umbria,363,662,66,116,2020-11-10
Valle d'Aosta,161,187,15,30,2020-11-10
Veneto,1596,6000,204,1000,2020-11-10
Abruzzo,546,1335,51,175,2020-11-11
Basilicata,133,405,19,64,2020-11-11
Calabria,286,813,18,138,2020-11-11
Campania,2077,4134,181,590,2020-11-11
Emilia-Romagna,2072,3697,222,562,2020-11-11
Friuli Venezia Giulia,346,1277,46,175,2020-11-11
